id,location,fault_severity,severity_type,event_type,log_feature,resource_type,text_for_ai
12226,location 7,0,severity_type 1,event_type 11,"feature 70, feature 191",resource_type 8,"Incident 12226 à location 7. Statut Final: AUCUNE PANNE (Fonctionnement normal). Détails Techniques: Logs [feature 70, feature 191], Événements [event_type 11], Ressource [resource_type 8]."
12496,location 707,0,severity_type 2,event_type 15,"feature 71, feature 193",resource_type 8,"Incident 12496 à location 707. Statut Final: AUCUNE PANNE (Fonctionnement normal). Détails Techniques: Logs [feature 71, feature 193], Événements [event_type 15], Ressource [resource_type 8]."
2718,location 476,0,severity_type 2,"event_type 34, event_type 35","feature 233, feature 313, feature 312, feature 232",resource_type 2,"Incident 2718 à location 476. Statut Final: AUCUNE PANNE (Fonctionnement normal). Détails Techniques: Logs [feature 233, feature 313, feature 312, feature 232], Événements [event_type 34, event_type 35], Ressource [resource_type 2]."
4301,location 467,0,severity_type 2,"event_type 34, event_type 35","feature 312, feature 232",resource_type 2,"Incident 4301 à location 467. Statut Final: AUCUNE PANNE (Fonctionnement normal). Détails Techniques: Logs [feature 312, feature 232], Événements [event_type 34, event_type 35], Ressource [resource_type 2]."
11134,location 1083,0,severity_type 1,event_type 11,"feature 170, feature 68, feature 54",resource_type 8,"Incident 11134 à location 1083. Statut Final: AUCUNE PANNE (Fonctionnement normal). Détails Techniques: Logs [feature 170, feature 68, feature 54], Événements [event_type 11], Ressource [resource_type 8]."
17653,location 1016,1,severity_type 1,event_type 11,"feature 182, feature 62",resource_type 8,"Incident 17653 à location 1016. Statut Final: ALERTE MINEURE (Quelques erreurs). Détails Techniques: Logs [feature 182, feature 62], Événements [event_type 11], Ressource [resource_type 8]."
11079,location 518,0,severity_type 2,"event_type 34, event_type 35","feature 229, feature 309, feature 234, feature 236, feature 315, feature 232, feature 316, feature 313, feature 314, feature 233, feature 312",resource_type 2,"Incident 11079 à location 518. Statut Final: AUCUNE PANNE (Fonctionnement normal). Détails Techniques: Logs [feature 229, feature 309, feature 234, feature 236, feature 315, feature 232, feature 316, feature 313, feature 314, feature 233, feature 312], Événements [event_type 34, event_type 35], Ressource [resource_type 2]."
8096,location 8,0,severity_type 1,"event_type 15, event_type 11","feature 56, feature 172",resource_type 8,"Incident 8096 à location 8. Statut Final: AUCUNE PANNE (Fonctionnement normal). Détails Techniques: Logs [feature 56, feature 172], Événements [event_type 15, event_type 11], Ressource [resource_type 8]."
4721,location 742,0,severity_type 1,"event_type 15, event_type 11","feature 201, feature 80",resource_type 8,"Incident 4721 à location 742. Statut Final: AUCUNE PANNE (Fonctionnement normal). Détails Techniques: Logs [feature 201, feature 80], Événements [event_type 15, event_type 11], Ressource [resource_type 8]."
6069,location 373,0,severity_type 2,"event_type 35, event_type 34","feature 312, feature 232",resource_type 2,"Incident 6069 à location 373. Statut Final: AUCUNE PANNE (Fonctionnement normal). Détails Techniques: Logs [feature 312, feature 232], Événements [event_type 35, event_type 34], Ressource [resource_type 2]."
15313,location 466,0,severity_type 2,"event_type 35, event_type 34","feature 312, feature 314, feature 307, feature 232, feature 227, feature 234",resource_type 2,"Incident 15313 à location 466. Statut Final: AUCUNE PANNE (Fonctionnement normal). Détails Techniques: Logs [feature 312, feature 314, feature 307, feature 232, feature 227, feature 234], Événements [event_type 35, event_type 34], Ressource [resource_type 2]."
18179,location 627,0,severity_type 1,"event_type 11, event_type 22, event_type 23","feature 306, feature 110, feature 305, feature 223, feature 197, feature 75, feature 114, feature 222","resource_type 8, resource_type 7","Incident 18179 à location 627. Statut Final: AUCUNE PANNE (Fonctionnement normal). Détails Techniques: Logs [feature 306, feature 110, feature 305, feature 223, feature 197, feature 75, feature 114, feature 222], Événements [event_type 11, event_type 22, event_type 23], Ressource [resource_type 8, resource_type 7]."
10587,location 256,0,severity_type 2,"event_type 35, event_type 34","feature 232, feature 312",resource_type 2,"Incident 10587 à location 256. Statut Final: AUCUNE PANNE (Fonctionnement normal). Détails Techniques: Logs [feature 232, feature 312], Événements [event_type 35, event_type 34], Ressource [resource_type 2]."
660,location 124,0,severity_type 2,"event_type 35, event_type 34","feature 232, feature 307, feature 312, feature 315, feature 313",resource_type 2,"Incident 660 à location 124. Statut Final: AUCUNE PANNE (Fonctionnement normal). Détails Techniques: Logs [feature 232, feature 307, feature 312, feature 315, feature 313], Événements [event_type 35, event_type 34], Ressource [resource_type 2]."
16476,location 881,0,severity_type 1,"event_type 11, event_type 13","feature 68, feature 118, feature 273","resource_type 8, resource_type 6","Incident 16476 à location 881. Statut Final: AUCUNE PANNE (Fonctionnement normal). Détails Techniques: Logs [feature 68, feature 118, feature 273], Événements [event_type 11, event_type 13], Ressource [resource_type 8, resource_type 6]."
6013,location 126,0,severity_type 2,"event_type 35, event_type 34","feature 312, feature 313, feature 232, feature 307, feature 233, feature 315, feature 235",resource_type 2,"Incident 6013 à location 126. Statut Final: AUCUNE PANNE (Fonctionnement normal). Détails Techniques: Logs [feature 312, feature 313, feature 232, feature 307, feature 233, feature 315, feature 235], Événements [event_type 35, event_type 34], Ressource [resource_type 2]."
3072,location 118,0,severity_type 2,"event_type 35, event_type 34","feature 232, feature 312",resource_type 2,"Incident 3072 à location 118. Statut Final: AUCUNE PANNE (Fonctionnement normal). Détails Techniques: Logs [feature 232, feature 312], Événements [event_type 35, event_type 34], Ressource [resource_type 2]."
18215,location 931,0,severity_type 1,"event_type 15, event_type 11","feature 203, feature 82, feature 80, feature 201",resource_type 8,"Incident 18215 à location 931. Statut Final: AUCUNE PANNE (Fonctionnement normal). Détails Techniques: Logs [feature 203, feature 82, feature 80, feature 201], Événements [event_type 15, event_type 11], Ressource [resource_type 8]."
9294,location 140,0,severity_type 1,"event_type 20, event_type 35","feature 134, feature 219, feature 312, feature 301, feature 307",resource_type 2,"Incident 9294 à location 140. Statut Final: AUCUNE PANNE (Fonctionnement normal). Détails Techniques: Logs [feature 134, feature 219, feature 312, feature 301, feature 307], Événements [event_type 20, event_type 35], Ressource [resource_type 2]."
12430,location 267,0,severity_type 2,"event_type 35, event_type 34","feature 227, feature 232, feature 312",resource_type 2,"Incident 12430 à location 267. Statut Final: AUCUNE PANNE (Fonctionnement normal). Détails Techniques: Logs [feature 227, feature 232, feature 312], Événements [event_type 35, event_type 34], Ressource [resource_type 2]."
412,location 1080,1,severity_type 1,"event_type 11, event_type 13","feature 273, feature 68","resource_type 6, resource_type 8","Incident 412 à location 1080. Statut Final: ALERTE MINEURE (Quelques erreurs). Détails Techniques: Logs [feature 273, feature 68], Événements [event_type 11, event_type 13], Ressource [resource_type 6, resource_type 8]."
5809,location 124,0,severity_type 2,"event_type 34, event_type 35","feature 312, feature 232, feature 313, feature 315, feature 233, feature 235",resource_type 2,"Incident 5809 à location 124. Statut Final: AUCUNE PANNE (Fonctionnement normal). Détails Techniques: Logs [feature 312, feature 232, feature 313, feature 315, feature 233, feature 235], Événements [event_type 34, event_type 35], Ressource [resource_type 2]."
8808,location 495,0,severity_type 2,"event_type 34, event_type 35","feature 316, feature 227, feature 311, feature 315, feature 314, feature 312, feature 310, feature 313, feature 229, feature 308, feature 234, feature 232, feature 307, feature 233, feature 309, feature 228",resource_type 2,"Incident 8808 à location 495. Statut Final: AUCUNE PANNE (Fonctionnement normal). Détails Techniques: Logs [feature 316, feature 227, feature 311, feature 315, feature 314, feature 312, feature 310, feature 313, feature 229, feature 308, feature 234, feature 232, feature 307, feature 233, feature 309, feature 228], Événements [event_type 34, event_type 35], Ressource [resource_type 2]."
4576,location 477,0,severity_type 2,"event_type 34, event_type 35","feature 314, feature 312, feature 309, feature 229, feature 234",resource_type 2,"Incident 4576 à location 477. Statut Final: AUCUNE PANNE (Fonctionnement normal). Détails Techniques: Logs [feature 314, feature 312, feature 309, feature 229, feature 234], Événements [event_type 34, event_type 35], Ressource [resource_type 2]."
7344,location 424,0,severity_type 2,"event_type 34, event_type 35","feature 315, feature 313, feature 307, feature 312, feature 232",resource_type 2,"Incident 7344 à location 424. Statut Final: AUCUNE PANNE (Fonctionnement normal). Détails Techniques: Logs [feature 315, feature 313, feature 307, feature 312, feature 232], Événements [event_type 34, event_type 35], Ressource [resource_type 2]."
3965,location 91,0,severity_type 2,"event_type 34, event_type 35","feature 235, feature 312, feature 232, feature 307, feature 315, feature 227",resource_type 2,"Incident 3965 à location 91. Statut Final: AUCUNE PANNE (Fonctionnement normal). Détails Techniques: Logs [feature 235, feature 312, feature 232, feature 307, feature 315, feature 227], Événements [event_type 34, event_type 35], Ressource [resource_type 2]."
12984,location 942,0,severity_type 1,"event_type 13, event_type 11","feature 273, feature 68","resource_type 8, resource_type 6","Incident 12984 à location 942. Statut Final: AUCUNE PANNE (Fonctionnement normal). Détails Techniques: Logs [feature 273, feature 68], Événements [event_type 13, event_type 11], Ressource [resource_type 8, resource_type 6]."
6890,location 844,1,severity_type 1,event_type 11,"feature 206, feature 85, feature 170, feature 68",resource_type 8,"Incident 6890 à location 844. Statut Final: ALERTE MINEURE (Quelques erreurs). Détails Techniques: Logs [feature 206, feature 85, feature 170, feature 68], Événements [event_type 11], Ressource [resource_type 8]."
10645,location 710,0,severity_type 2,event_type 11,feature 73,resource_type 8,"Incident 10645 à location 710. Statut Final: AUCUNE PANNE (Fonctionnement normal). Détails Techniques: Logs [feature 73], Événements [event_type 11], Ressource [resource_type 8]."
8309,location 1104,0,severity_type 1,event_type 20,"feature 219, feature 134",resource_type 2,"Incident 8309 à location 1104. Statut Final: AUCUNE PANNE (Fonctionnement normal). Détails Techniques: Logs [feature 219, feature 134], Événements [event_type 20], Ressource [resource_type 2]."
17659,location 1031,0,severity_type 1,event_type 11,"feature 170, feature 54",resource_type 8,"Incident 17659 à location 1031. Statut Final: AUCUNE PANNE (Fonctionnement normal). Détails Techniques: Logs [feature 170, feature 54], Événements [event_type 11], Ressource [resource_type 8]."
836,location 128,0,severity_type 4,event_type 35,feature 312,resource_type 2,"Incident 836 à location 128. Statut Final: AUCUNE PANNE (Fonctionnement normal). Détails Techniques: Logs [feature 312], Événements [event_type 35], Ressource [resource_type 2]."
11692,location 628,0,severity_type 1,event_type 11,"feature 207, feature 204, feature 182",resource_type 8,"Incident 11692 à location 628. Statut Final: AUCUNE PANNE (Fonctionnement normal). Détails Techniques: Logs [feature 207, feature 204, feature 182], Événements [event_type 11], Ressource [resource_type 8]."
14575,location 768,0,severity_type 1,event_type 11,"feature 55, feature 171",resource_type 8,"Incident 14575 à location 768. Statut Final: AUCUNE PANNE (Fonctionnement normal). Détails Techniques: Logs [feature 55, feature 171], Événements [event_type 11], Ressource [resource_type 8]."
11586,location 1050,1,severity_type 4,"event_type 11, event_type 14, event_type 22","feature 163, feature 47, feature 75, feature 305","resource_type 8, resource_type 4, resource_type 7","Incident 11586 à location 1050. Statut Final: ALERTE MINEURE (Quelques erreurs). Détails Techniques: Logs [feature 163, feature 47, feature 75, feature 305], Événements [event_type 11, event_type 14, event_type 22], Ressource [resource_type 8, resource_type 4, resource_type 7]."
9052,location 1100,0,severity_type 1,"event_type 15, event_type 11","feature 203, feature 71, feature 82",resource_type 8,"Incident 9052 à location 1100. Statut Final: AUCUNE PANNE (Fonctionnement normal). Détails Techniques: Logs [feature 203, feature 71, feature 82], Événements [event_type 15, event_type 11], Ressource [resource_type 8]."
2932,location 957,1,severity_type 4,event_type 54,"feature 360, feature 362",resource_type 2,"Incident 2932 à location 957. Statut Final: ALERTE MINEURE (Quelques erreurs). Détails Techniques: Logs [feature 360, feature 362], Événements [event_type 54], Ressource [resource_type 2]."
14215,location 692,0,severity_type 1,event_type 11,feature 54,resource_type 8,"Incident 14215 à location 692. Statut Final: AUCUNE PANNE (Fonctionnement normal). Détails Techniques: Logs [feature 54], Événements [event_type 11], Ressource [resource_type 8]."
18536,location 821,0,severity_type 1,"event_type 11, event_type 15","feature 71, feature 80, feature 203, feature 193, feature 201, feature 82",resource_type 8,"Incident 18536 à location 821. Statut Final: AUCUNE PANNE (Fonctionnement normal). Détails Techniques: Logs [feature 71, feature 80, feature 203, feature 193, feature 201, feature 82], Événements [event_type 11, event_type 15], Ressource [resource_type 8]."
14795,location 469,0,severity_type 2,"event_type 34, event_type 35","feature 232, feature 312",resource_type 2,"Incident 14795 à location 469. Statut Final: AUCUNE PANNE (Fonctionnement normal). Détails Techniques: Logs [feature 232, feature 312], Événements [event_type 34, event_type 35], Ressource [resource_type 2]."
12215,location 122,0,severity_type 2,"event_type 34, event_type 35","feature 233, feature 307, feature 232, feature 227, feature 315, feature 235, feature 312, feature 313",resource_type 2,"Incident 12215 à location 122. Statut Final: AUCUNE PANNE (Fonctionnement normal). Détails Techniques: Logs [feature 233, feature 307, feature 232, feature 227, feature 315, feature 235, feature 312, feature 313], Événements [event_type 34, event_type 35], Ressource [resource_type 2]."
8179,location 839,0,severity_type 1,event_type 11,"feature 68, feature 54",resource_type 8,"Incident 8179 à location 839. Statut Final: AUCUNE PANNE (Fonctionnement normal). Détails Techniques: Logs [feature 68, feature 54], Événements [event_type 11], Ressource [resource_type 8]."
12194,location 1008,0,severity_type 2,event_type 15,"feature 203, feature 82, feature 80",resource_type 8,"Incident 12194 à location 1008. Statut Final: AUCUNE PANNE (Fonctionnement normal). Détails Techniques: Logs [feature 203, feature 82, feature 80], Événements [event_type 15], Ressource [resource_type 8]."
12186,location 1093,0,severity_type 1,"event_type 11, event_type 23, event_type 32, event_type 20","feature 219, feature 134, feature 306, feature 58, feature 280","resource_type 8, resource_type 2, resource_type 7","Incident 12186 à location 1093. Statut Final: AUCUNE PANNE (Fonctionnement normal). Détails Techniques: Logs [feature 219, feature 134, feature 306, feature 58, feature 280], Événements [event_type 11, event_type 23, event_type 32, event_type 20], Ressource [resource_type 8, resource_type 2, resource_type 7]."
11594,location 479,0,severity_type 2,"event_type 35, event_type 34","feature 312, feature 314, feature 234",resource_type 2,"Incident 11594 à location 479. Statut Final: AUCUNE PANNE (Fonctionnement normal). Détails Techniques: Logs [feature 312, feature 314, feature 234], Événements [event_type 35, event_type 34], Ressource [resource_type 2]."
3346,location 277,0,severity_type 2,"event_type 34, event_type 35","feature 307, feature 232, feature 312",resource_type 2,"Incident 3346 à location 277. Statut Final: AUCUNE PANNE (Fonctionnement normal). Détails Techniques: Logs [feature 307, feature 232, feature 312], Événements [event_type 34, event_type 35], Ressource [resource_type 2]."
18155,location 124,0,severity_type 2,"event_type 35, event_type 34","feature 307, feature 232, feature 313, feature 235, feature 312, feature 315, feature 233",resource_type 2,"Incident 18155 à location 124. Statut Final: AUCUNE PANNE (Fonctionnement normal). Détails Techniques: Logs [feature 307, feature 232, feature 313, feature 235, feature 312, feature 315, feature 233], Événements [event_type 35, event_type 34], Ressource [resource_type 2]."
12908,location 444,0,severity_type 1,"event_type 34, event_type 20, event_type 35","feature 219, feature 134, feature 221, feature 301",resource_type 2,"Incident 12908 à location 444. Statut Final: AUCUNE PANNE (Fonctionnement normal). Détails Techniques: Logs [feature 219, feature 134, feature 221, feature 301], Événements [event_type 34, event_type 20, event_type 35], Ressource [resource_type 2]."
4960,location 821,0,severity_type 1,"event_type 11, event_type 15","feature 203, feature 82, feature 74, feature 196",resource_type 8,"Incident 4960 à location 821. Statut Final: AUCUNE PANNE (Fonctionnement normal). Détails Techniques: Logs [feature 203, feature 82, feature 74, feature 196], Événements [event_type 11, event_type 15], Ressource [resource_type 8]."
12046,location 627,0,severity_type 1,"event_type 22, event_type 11, event_type 23","feature 306, feature 305, feature 75","resource_type 8, resource_type 7","Incident 12046 à location 627. Statut Final: AUCUNE PANNE (Fonctionnement normal). Détails Techniques: Logs [feature 306, feature 305, feature 75], Événements [event_type 22, event_type 11, event_type 23], Ressource [resource_type 8, resource_type 7]."
2832,location 1061,2,severity_type 2,event_type 15,"feature 82, feature 203",resource_type 8,"Incident 2832 à location 1061. Statut Final: PANNE CRITIQUE (Coupure de service). Détails Techniques: Logs [feature 82, feature 203], Événements [event_type 15], Ressource [resource_type 8]."
6907,location 325,0,severity_type 1,"event_type 35, event_type 34, event_type 20","feature 301, feature 221, feature 219, feature 134",resource_type 2,"Incident 6907 à location 325. Statut Final: AUCUNE PANNE (Fonctionnement normal). Détails Techniques: Logs [feature 301, feature 221, feature 219, feature 134], Événements [event_type 35, event_type 34, event_type 20], Ressource [resource_type 2]."
14713,location 155,0,severity_type 2,"event_type 34, event_type 35","feature 301, feature 221",resource_type 2,"Incident 14713 à location 155. Statut Final: AUCUNE PANNE (Fonctionnement normal). Détails Techniques: Logs [feature 301, feature 221], Événements [event_type 34, event_type 35], Ressource [resource_type 2]."
12087,location 1100,2,severity_type 1,"event_type 11, event_type 15","feature 82, feature 203",resource_type 8,"Incident 12087 à location 1100. Statut Final: PANNE CRITIQUE (Coupure de service). Détails Techniques: Logs [feature 82, feature 203], Événements [event_type 11, event_type 15], Ressource [resource_type 8]."
10809,location 893,0,severity_type 1,"event_type 43, event_type 42, event_type 44","feature 375, feature 291, feature 368, feature 283, feature 376",resource_type 2,"Incident 10809 à location 893. Statut Final: AUCUNE PANNE (Fonctionnement normal). Détails Techniques: Logs [feature 375, feature 291, feature 368, feature 283, feature 376], Événements [event_type 43, event_type 42, event_type 44], Ressource [resource_type 2]."
6754,location 696,0,severity_type 1,event_type 11,"feature 54, feature 170",resource_type 8,"Incident 6754 à location 696. Statut Final: AUCUNE PANNE (Fonctionnement normal). Détails Techniques: Logs [feature 54, feature 170], Événements [event_type 11], Ressource [resource_type 8]."
14182,location 1104,0,severity_type 2,event_type 15,feature 80,resource_type 8,"Incident 14182 à location 1104. Statut Final: AUCUNE PANNE (Fonctionnement normal). Détails Techniques: Logs [feature 80], Événements [event_type 15], Ressource [resource_type 8]."
13742,location 977,1,severity_type 5,event_type 30,"feature 133, feature 218",resource_type 9,"Incident 13742 à location 977. Statut Final: ALERTE MINEURE (Quelques erreurs). Détails Techniques: Logs [feature 133, feature 218], Événements [event_type 30], Ressource [resource_type 9]."
7178,location 485,0,severity_type 2,"event_type 35, event_type 34","feature 312, feature 230, feature 234, feature 310, feature 315, feature 232, feature 235, feature 314",resource_type 2,"Incident 7178 à location 485. Statut Final: AUCUNE PANNE (Fonctionnement normal). Détails Techniques: Logs [feature 312, feature 230, feature 234, feature 310, feature 315, feature 232, feature 235, feature 314], Événements [event_type 35, event_type 34], Ressource [resource_type 2]."
2139,location 505,0,severity_type 2,"event_type 35, event_type 34","feature 313, feature 235, feature 315, feature 312, feature 232, feature 233",resource_type 2,"Incident 2139 à location 505. Statut Final: AUCUNE PANNE (Fonctionnement normal). Détails Techniques: Logs [feature 313, feature 235, feature 315, feature 312, feature 232, feature 233], Événements [event_type 35, event_type 34], Ressource [resource_type 2]."
7278,location 519,0,severity_type 2,"event_type 34, event_type 35","feature 312, feature 232",resource_type 2,"Incident 7278 à location 519. Statut Final: AUCUNE PANNE (Fonctionnement normal). Détails Techniques: Logs [feature 312, feature 232], Événements [event_type 34, event_type 35], Ressource [resource_type 2]."
10398,location 124,0,severity_type 2,"event_type 34, event_type 35","feature 315, feature 313, feature 312, feature 233, feature 235",resource_type 2,"Incident 10398 à location 124. Statut Final: AUCUNE PANNE (Fonctionnement normal). Détails Techniques: Logs [feature 315, feature 313, feature 312, feature 233, feature 235], Événements [event_type 34, event_type 35], Ressource [resource_type 2]."
9681,location 943,0,severity_type 1,event_type 11,"feature 170, feature 54",resource_type 8,"Incident 9681 à location 943. Statut Final: AUCUNE PANNE (Fonctionnement normal). Détails Techniques: Logs [feature 170, feature 54], Événements [event_type 11], Ressource [resource_type 8]."
12284,location 1031,1,severity_type 1,event_type 11,"feature 54, feature 170",resource_type 8,"Incident 12284 à location 1031. Statut Final: ALERTE MINEURE (Quelques erreurs). Détails Techniques: Logs [feature 54, feature 170], Événements [event_type 11], Ressource [resource_type 8]."
15001,location 1042,2,severity_type 2,event_type 15,"feature 82, feature 203",resource_type 8,"Incident 15001 à location 1042. Statut Final: PANNE CRITIQUE (Coupure de service). Détails Techniques: Logs [feature 82, feature 203], Événements [event_type 15], Ressource [resource_type 8]."
14164,location 507,0,severity_type 2,"event_type 34, event_type 35","feature 314, feature 312, feature 316, feature 309, feature 232",resource_type 2,"Incident 14164 à location 507. Statut Final: AUCUNE PANNE (Fonctionnement normal). Détails Techniques: Logs [feature 314, feature 312, feature 316, feature 309, feature 232], Événements [event_type 34, event_type 35], Ressource [resource_type 2]."
17405,location 707,0,severity_type 2,event_type 15,feature 71,resource_type 8,"Incident 17405 à location 707. Statut Final: AUCUNE PANNE (Fonctionnement normal). Détails Techniques: Logs [feature 71], Événements [event_type 15], Ressource [resource_type 8]."
9927,location 288,1,severity_type 1,"event_type 11, event_type 34, event_type 35","feature 94, feature 232, feature 307, feature 44, feature 312, feature 160","resource_type 8, resource_type 2","Incident 9927 à location 288. Statut Final: ALERTE MINEURE (Quelques erreurs). Détails Techniques: Logs [feature 94, feature 232, feature 307, feature 44, feature 312, feature 160], Événements [event_type 11, event_type 34, event_type 35], Ressource [resource_type 8, resource_type 2]."
439,location 842,0,severity_type 1,event_type 24,"feature 239, feature 318",resource_type 2,"Incident 439 à location 842. Statut Final: AUCUNE PANNE (Fonctionnement normal). Détails Techniques: Logs [feature 239, feature 318], Événements [event_type 24], Ressource [resource_type 2]."
2731,location 845,0,severity_type 2,event_type 15,"feature 203, feature 82",resource_type 8,"Incident 2731 à location 845. Statut Final: AUCUNE PANNE (Fonctionnement normal). Détails Techniques: Logs [feature 203, feature 82], Événements [event_type 15], Ressource [resource_type 8]."
9501,location 1024,0,severity_type 1,event_type 11,"feature 73, feature 195",resource_type 8,"Incident 9501 à location 1024. Statut Final: AUCUNE PANNE (Fonctionnement normal). Détails Techniques: Logs [feature 73, feature 195], Événements [event_type 11], Ressource [resource_type 8]."
14206,location 931,1,severity_type 1,"event_type 15, event_type 11","feature 82, feature 203, feature 80, feature 201",resource_type 8,"Incident 14206 à location 931. Statut Final: ALERTE MINEURE (Quelques erreurs). Détails Techniques: Logs [feature 82, feature 203, feature 80, feature 201], Événements [event_type 15, event_type 11], Ressource [resource_type 8]."
5196,location 1107,0,severity_type 1,"event_type 11, event_type 15","feature 193, feature 172, feature 203, feature 56, feature 71, feature 82",resource_type 8,"Incident 5196 à location 1107. Statut Final: AUCUNE PANNE (Fonctionnement normal). Détails Techniques: Logs [feature 193, feature 172, feature 203, feature 56, feature 71, feature 82], Événements [event_type 11, event_type 15], Ressource [resource_type 8]."
18448,location 9,0,severity_type 1,"event_type 11, event_type 15","feature 193, feature 71",resource_type 8,"Incident 18448 à location 9. Statut Final: AUCUNE PANNE (Fonctionnement normal). Détails Techniques: Logs [feature 193, feature 71], Événements [event_type 11, event_type 15], Ressource [resource_type 8]."
2817,location 600,0,severity_type 2,event_type 15,"feature 82, feature 203",resource_type 8,"Incident 2817 à location 600. Statut Final: AUCUNE PANNE (Fonctionnement normal). Détails Techniques: Logs [feature 82, feature 203], Événements [event_type 15], Ressource [resource_type 8]."
13615,location 1084,1,severity_type 1,event_type 11,feature 170,resource_type 8,"Incident 13615 à location 1084. Statut Final: ALERTE MINEURE (Quelques erreurs). Détails Techniques: Logs [feature 170], Événements [event_type 11], Ressource [resource_type 8]."
11194,location 1032,1,severity_type 1,event_type 11,"feature 170, feature 54",resource_type 8,"Incident 11194 à location 1032. Statut Final: ALERTE MINEURE (Quelques erreurs). Détails Techniques: Logs [feature 170, feature 54], Événements [event_type 11], Ressource [resource_type 8]."
7848,location 390,1,severity_type 2,"event_type 35, event_type 34","feature 312, feature 232",resource_type 2,"Incident 7848 à location 390. Statut Final: ALERTE MINEURE (Quelques erreurs). Détails Techniques: Logs [feature 312, feature 232], Événements [event_type 35, event_type 34], Ressource [resource_type 2]."
15143,location 124,0,severity_type 2,"event_type 34, event_type 35","feature 315, feature 312, feature 232, feature 313, feature 233, feature 235",resource_type 2,"Incident 15143 à location 124. Statut Final: AUCUNE PANNE (Fonctionnement normal). Détails Techniques: Logs [feature 315, feature 312, feature 232, feature 313, feature 233, feature 235], Événements [event_type 34, event_type 35], Ressource [resource_type 2]."
12912,location 491,0,severity_type 2,"event_type 34, event_type 35","feature 315, feature 235",resource_type 2,"Incident 12912 à location 491. Statut Final: AUCUNE PANNE (Fonctionnement normal). Détails Techniques: Logs [feature 315, feature 235], Événements [event_type 34, event_type 35], Ressource [resource_type 2]."
2241,location 470,0,severity_type 2,event_type 11,"feature 44, feature 181",resource_type 8,"Incident 2241 à location 470. Statut Final: AUCUNE PANNE (Fonctionnement normal). Détails Techniques: Logs [feature 44, feature 181], Événements [event_type 11], Ressource [resource_type 8]."
7740,location 821,1,severity_type 1,"event_type 15, event_type 11","feature 198, feature 203, feature 80, feature 193, feature 71, feature 82",resource_type 8,"Incident 7740 à location 821. Statut Final: ALERTE MINEURE (Quelques erreurs). Détails Techniques: Logs [feature 198, feature 203, feature 80, feature 193, feature 71, feature 82], Événements [event_type 15, event_type 11], Ressource [resource_type 8]."
7828,location 684,1,severity_type 2,event_type 15,"feature 203, feature 82",resource_type 8,"Incident 7828 à location 684. Statut Final: ALERTE MINEURE (Quelques erreurs). Détails Techniques: Logs [feature 203, feature 82], Événements [event_type 15], Ressource [resource_type 8]."
17080,location 839,0,severity_type 1,event_type 20,"feature 134, feature 219",resource_type 2,"Incident 17080 à location 839. Statut Final: AUCUNE PANNE (Fonctionnement normal). Détails Techniques: Logs [feature 134, feature 219], Événements [event_type 20], Ressource [resource_type 2]."
6054,location 653,2,severity_type 2,event_type 15,"feature 82, feature 203",resource_type 8,"Incident 6054 à location 653. Statut Final: PANNE CRITIQUE (Coupure de service). Détails Techniques: Logs [feature 82, feature 203], Événements [event_type 15], Ressource [resource_type 8]."
8112,location 122,0,severity_type 2,"event_type 35, event_type 34","feature 235, feature 233, feature 232, feature 315, feature 313, feature 312",resource_type 2,"Incident 8112 à location 122. Statut Final: AUCUNE PANNE (Fonctionnement normal). Détails Techniques: Logs [feature 235, feature 233, feature 232, feature 315, feature 313, feature 312], Événements [event_type 35, event_type 34], Ressource [resource_type 2]."
14561,location 468,0,severity_type 2,"event_type 34, event_type 35","feature 312, feature 232",resource_type 2,"Incident 14561 à location 468. Statut Final: AUCUNE PANNE (Fonctionnement normal). Détails Techniques: Logs [feature 312, feature 232], Événements [event_type 34, event_type 35], Ressource [resource_type 2]."
16244,location 793,0,severity_type 2,event_type 11,"feature 195, feature 73",resource_type 8,"Incident 16244 à location 793. Statut Final: AUCUNE PANNE (Fonctionnement normal). Détails Techniques: Logs [feature 195, feature 73], Événements [event_type 11], Ressource [resource_type 8]."
794,location 646,0,severity_type 1,event_type 11,"feature 203, feature 82, feature 80, feature 201",resource_type 8,"Incident 794 à location 646. Statut Final: AUCUNE PANNE (Fonctionnement normal). Détails Techniques: Logs [feature 203, feature 82, feature 80, feature 201], Événements [event_type 11], Ressource [resource_type 8]."
4913,location 380,0,severity_type 2,"event_type 34, event_type 35","feature 232, feature 312",resource_type 2,"Incident 4913 à location 380. Statut Final: AUCUNE PANNE (Fonctionnement normal). Détails Techniques: Logs [feature 232, feature 312], Événements [event_type 34, event_type 35], Ressource [resource_type 2]."
15706,location 691,0,severity_type 1,"event_type 20, event_type 23, event_type 11","feature 75, feature 134, feature 219, feature 306","resource_type 8, resource_type 7, resource_type 2","Incident 15706 à location 691. Statut Final: AUCUNE PANNE (Fonctionnement normal). Détails Techniques: Logs [feature 75, feature 134, feature 219, feature 306], Événements [event_type 20, event_type 23, event_type 11], Ressource [resource_type 8, resource_type 7, resource_type 2]."
17636,location 834,2,severity_type 2,event_type 15,"feature 82, feature 203",resource_type 8,"Incident 17636 à location 834. Statut Final: PANNE CRITIQUE (Coupure de service). Détails Techniques: Logs [feature 82, feature 203], Événements [event_type 15], Ressource [resource_type 8]."
